VTRS Adj Close 3	0    0.000881
DHI Adj Close 20	0    0.00088
ALXN Adj Close 21	0    0.000874
MSFT Adj Close	0    0.000873
SIVB Adj Close 12	0    0.000871
CMA Adj Close 19	0    0.000865
MMM macd 21	0    0.000857
MOS Adj Close 3	0    0.00085
WDC Adj Close 14	0    0.000842
TXN Adj Close 7	0    0.000837
RL Adj Close 18	0    0.000834
MO Adj Close 1	0    0.000824
ILMN Adj Close 2	0    0.000821
FB Adj Close 14	0    0.000821
WBA Adj Close	0    0.000821
FBHS Adj Close 21	0    0.000818
ABMD Adj Close 21	0    0.000816
FCX Adj Close 17	0    0.000806
ROST Adj Close 4	0    0.000801
CF Adj Close 10	0    0.000799
VRSN Adj Close 18	0    0.000795
AEP Adj Close	0    0.000793
MMM rsi 14	0    0.000787
MSI Adj Close 7	0    0.000782
DD Adj Close	0    0.000778
NRG Adj Close	0    0.000778
HFC Adj Close 6	0    0.000773
BWA Adj Close 11	0    0.000772
MSI Adj Close 5	0    0.00077
SBUX Adj Close 14	0    0.000747
MNST Adj Close 7	0    0.000746
EMN Adj Close 1	0    0.000742
PNR Adj Close 21	0    0.000735
CLX Adj Close 16	0    0.000731
ADM Adj Close 4	0    0.00073
STT Adj Close 1	0    0.000725
NVDA Adj Close 4	0    0.000715
MOS Adj Close 7	0    0.00071
AIG Adj Close 11	0    0.000703
ALXN Adj Close	0    0.000699
AAL Adj Close 17	0    0.000699
STZ Adj Close	0    0.000694
BKR Adj Close	0    0.000693
GM Adj Close 2	0    0.00069
COF Adj Close 2	0    0.000689
TMO Adj Close 10	0    0.000688
AZO Adj Close 15	0    0.000685
TPR Adj Close 20	0    0.000682
PRGO Adj Close 12	0    0.000677
VRSN Adj Close 6	0    0.000676
CLX Adj Close 1	0    0.000675
MMC Adj Close 19	0    0.000675
COP Adj Close 14	0    0.000671
NUE Adj Close 5	0    0.000666
IPGP Adj Close 20	0    0.000663
JKHY Adj Close 4	0    0.000655
LNC Adj Close 2	0    0.000653
NUE Adj Close 6	0    0.000653
SYF Adj Close 8	0    0.00064
DHI Adj Close 19	0    0.000639
AIZ Adj Close 11	0    0.000637
ANSS Adj Close 2	0    0.000636
IPGP Adj Close 16	0    0.000634
CNP Adj Close 17	0    0.000628
WYNN Adj Close 10	0    0.000625
PVH Adj Close 21	0    0.00062
OXY Adj Close 4	0    0.00062
VRSN Adj Close 8	0    0.000619
IR Adj Close 8	0    0.000617
MGM Adj Close 14	0    0.000608
OXY Adj Close 2	0    0.000606
GIS Adj Close 21	0    0.000604
CBRE Adj Close 8	0    0.000602
COO Adj Close 11	0    0.000597
TTWO Adj Close 21	0    0.000597
BEN Adj Close	0    0.000591
HST Adj Close 3	0    0.00059
WYNN Adj Close 1	0    0.000587
SCHW Adj Close	0    0.000587
BK Adj Close 14	0    0.000585
MMC Adj Close 6	0    0.000585
CNC Adj Close 14	0    0.000584
PAYX Adj Close 8	0    0.00058
HIG Adj Close	0    0.000575
PKI Adj Close 10	0    0.000575
IPG Adj Close 14	0    0.000574
GPC Adj Close 13	0    0.000569
CERN Adj Close 9	0    0.000566
DLR Adj Close 3	0    0.000561
FLIR Adj Close 1	0    0.00056
FMC Adj Close 21	0    0.000559
MLM Adj Close	0    0.000558
ADBE Adj Close 20	0    0.000552
TER Adj Close 20	0    0.00055
UHS Adj Close 4	0    0.000547
HBAN Adj Close 2	0    0.000545
GPC Adj Close 10	0    0.000543
CDW Adj Close 19	0    0.000543
LYB Adj Close 7	0    0.000541
CME Adj Close 11	0    0.000539
ROP Adj Close 5	0    0.000536
BEN Adj Close 6	0    0.000535
RE Adj Close 1	0    0.000534
IPGP Adj Close 18	0    0.000534
VRTX Adj Close 13	0    0.000528
FTNT Adj Close 7	0    0.000525
IR Adj Close 18	0    0.000522
DOW Adj Close	0    0.000519
LEN Adj Close	0    0.000517
FLT Adj Close	0    0.000517
MMM macd 15	0    0.000509
EQIX Adj Close 20	0    0.000501
IFF Adj Close 19	0    0.0005
BIIB Adj Close 20	0    0.000498
PXD Adj Close 12	0    0.000495
MET Adj Close	0    0.000494
PKG Adj Close 12	0    0.000491
TER Adj Close 1	0    0.00049
MMM macd 9	0    0.000489
XRX Adj Close 19	0    0.000488
PAYX Adj Close 19	0    0.000482
CTXS Adj Close 13	0    0.000481
HSIC Adj Close 1	0    0.000478
CMI Adj Close 5	0    0.000473
NTAP Adj Close 20	0    0.000472
TXT Adj Close 18	0    0.000471
CDNS Adj Close	0    0.000469
HCA Adj Close 1	0    0.000469
BBY Adj Close 2	0    0.000467
IDXX Adj Close 13	0    0.000466
O Adj Close 17	0    0.000466
AOS Adj Close 2	0    0.000464
XLNX Adj Close 13	0    0.00046
GS Adj Close 6	0    0.000458
BK Adj Close 10	0    0.000454
CSCO Adj Close	0    0.000449
HPE Adj Close	0    0.000444
DOV Adj Close 5	0    0.000439
FANG Adj Close 1	0    0.000438
PM Adj Close 18	0    0.000438
KMB Adj Close 5	0    0.000436
CNP Adj Close 21	0    0.000434
O Adj Close	0    0.000434
CBOE Adj Close 18	0    0.00043
FITB Adj Close 2	0    0.000429
ROST Adj Close 14	0    0.000429
RMD Adj Close 14	0    0.000429
FOX Adj Close 1	0    0.000427
WFC Adj Close 7	0    0.000423
HBAN Adj Close	0    0.000418
AZO Adj Close 3	0    0.000418
MAS Adj Close 12	0    0.000417
GWW Adj Close 10	0    0.000416
MMM rsi 3	0    0.000416
A Adj Close 21	0    0.00041
HSIC Adj Close 3	0    0.000409
VTR Adj Close 9	0    0.000402
WELL Adj Close 19	0    0.000401
FB Adj Close	0    0.000401
OMC Adj Close 4	0    0.000395
FE Adj Close 4	0    0.000391
MMM rsi 5	0    0.00039
FTV Adj Close 21	0    0.00039
DAL Adj Close 21	0    0.000387
NRG Adj Close 10	0    0.000387
AOS Adj Close 15	0    0.000384
ALXN Adj Close 18	0    0.000381
RJF Adj Close 21	0    0.000379
PFG Adj Close 9	0    0.000379
POOL Adj Close 14	0    0.000377
ALK Adj Close 9	0    0.000375
AFL Adj Close 3	0    0.000374
PEG Adj Close	0    0.000373
EIX Adj Close	0    0.000372
K Adj Close 4	0    0.000372
USB Adj Close 13	0    0.00037
LLY Adj Close 15	0    0.000369
LB Adj Close 11	0    0.000369
COG Adj Close 13	0    0.000368
KR Adj Close 2	0    0.000368
IT Adj Close	0    0.000366
IRM Adj Close 6	0    0.000365
NTRS Adj Close 19	0    0.000364
PKI Adj Close 6	0    0.000363
OXY Adj Close 18	0    0.000363
KIM Adj Close 7	0    0.000363
GS Adj Close	0    0.000363
IBM Adj Close 1	0    0.000362
FISV Adj Close 1	0    0.000361
NLSN Adj Close 14	0    0.000361
MMM macd 17	0    0.000361
FBHS Adj Close 18	0    0.000356
CLX Adj Close 11	0    0.000355
WAB Adj Close 11	0    0.000355
LW Adj Close 19	0    0.00035
ALK Adj Close 11	0    0.000348
GWW Adj Close	0    0.000346
BIIB Adj Close 4	0    0.000342
QCOM Adj Close 12	0    0.000337
MMM macd 6	0    0.000335
CTXS Adj Close 14	0    0.000334
GRMN Adj Close	0    0.000333
HLT Adj Close	0    0.000332
NFLX Adj Close 10	0    0.00033
TWTR Adj Close 3	0    0.000324
WDC Adj Close 16	0    0.00032
MMM Adj Close 8	0    0.000319
FAST Adj Close 14	0    0.000319
TRV Adj Close 2	0    0.000319
ITW Adj Close 1	0    0.000316
SBAC Adj Close	0    0.000314
IBM Adj Close 3	0    0.000314
HFC Adj Close 14	0    0.000313
FRC Adj Close 12	0    0.000311
PEP Adj Close 4	0    0.000307
CDW Adj Close	0    0.000307
WDC Adj Close 4	0    0.000306
EBAY Adj Close 19	0    0.000306
HWM Adj Close 8	0    0.000305
SPG Adj Close 3	0    0.000303
IPG Adj Close 4	0    0.000303
AMT Adj Close 18	0    0.000302
UA Adj Close	0    0.0003
SJM Adj Close 13	0    0.0003
CNP Adj Close 3	0    0.000299
CI Adj Close 12	0    0.000298
DAL Adj Close 5	0    0.000297
HCA Adj Close 14	0    0.000297
FIS Adj Close 3	0    0.000296
ZTS Adj Close 7	0    0.000296
HD Adj Close 8	0    0.000293
NLSN Adj Close 9	0    0.000293
VRSN Adj Close 7	0    0.000292
SEE Adj Close 11	0    0.000292
CAH Adj Close 19	0    0.000291
IFF Adj Close 13	0    0.000291
SLG Adj Close 3	0    0.00029
MPWR Adj Close 6	0    0.000289
GPN Adj Close	0    0.000289
JBHT Adj Close 11	0    0.000287
NLSN Adj Close	0    0.000286
TDY Adj Close 18	0    0.000285
ENPH Adj Close 9	0    0.000282
HPQ Adj Close 13	0    0.000281
BLK Adj Close 5	0    0.00028
GM Adj Close 8	0    0.000279
LW Adj Close 11	0    0.000278
BIIB Adj Close 9	0    0.000276
PEG Adj Close 9	0    0.000275
ETR Adj Close 10	0    0.000274
BAC Adj Close 2	0    0.000271
MCHP Adj Close 5	0    0.000271
LB Adj Close 5	0    0.000271
BKNG Adj Close	0    0.000271
LYV Adj Close 3	0    0.000269
CAT Adj Close 2	0    0.000269
HBI Adj Close	0    0.000268
UAA Adj Close 6	0    0.000266
MO Adj Close	0    0.000266
KSU Adj Close 3	0    0.000265
IR Adj Close 12	0    0.000264
SRE Adj Close 12	0    0.000264
SO Adj Close 10	0    0.000264
AMGN Adj Close 8	0    0.000263
NFLX Adj Close 16	0    0.00026
FISV Adj Close 12	0    0.000259
ULTA Adj Close 20	0    0.000258
AAP Adj Close 8	0    0.000257
SJM Adj Close	0    0.000251
ABC Adj Close 19	0    0.00025
EMR Adj Close	0    0.00025
TWTR Adj Close 17	0    0.000249
GE Adj Close 16	0    0.000249
ANET Adj Close 3	0    0.000247
TPR Adj Close 4	0    0.000246
CPB Adj Close 10	0    0.000245
VNO Adj Close 1	0    0.000244
MOS Adj Close 17	0    0.000244
JKHY Adj Close 6	0    0.000242
VFC Adj Close 11	0    0.000241
JPM Adj Close	0    0.00024
FBHS Adj Close 14	0    0.000239
EOG Adj Close 9	0    0.000239
CHD Adj Close 15	0    0.000237
WU Adj Close 5	0    0.000237
WDC Adj Close 3	0    0.000235
BBY Adj Close 1	0    0.000235
TMO Adj Close 16	0    0.000234
HPE Adj Close 11	0    0.000233
HFC Adj Close	0    0.000233
PFG Adj Close 15	0    0.000231
HIG Adj Close 21	0    0.000231
PVH Adj Close 6	0    0.00023
AIG Adj Close 2	0    0.00023
DISCA Adj Close 20	0    0.000229
ESS Adj Close 2	0    0.000228
AIG Adj Close 7	0    0.000228
F Adj Close 7	0    0.000227
MMM macd	0    0.000227
PFE Adj Close 7	0    0.000226
NOW Adj Close 11	0    0.000225
DXC Adj Close	0    0.000224
CMCSA Adj Close 10	0    0.000224
PM Adj Close 3	0    0.000222
MCK Adj Close 13	0    0.000222
CDNS Adj Close 12	0    0.000222
INFO Adj Close 12	0    0.00022
HWM Adj Close 21	0    0.000219
GILD Adj Close 17	0    0.000217
BK Adj Close 2	0    0.000216
NWL Adj Close 21	0    0.000215
GLW Adj Close 1	0    0.000215
DVN Adj Close 1	0    0.000215
QCOM Adj Close 16	0    0.000215
DISCA Adj Close	0    0.000214
ALB Adj Close	0    0.000214
D Adj Close 9	0    0.000213
LVS Adj Close 11	0    0.000212
JNJ Adj Close 2	0    0.000212
JKHY Adj Close 20	0    0.00021
CNC Adj Close 5	0    0.00021
TPR Adj Close 5	0    0.000206
CSX Adj Close 5	0    0.000206
WU Adj Close 21	0    0.000205
REGN Adj Close 10	0    0.000204
HRL Adj Close 9	0    0.000203
ISRG Adj Close	0    0.000203
AAP Adj Close 10	0    0.000203
LHX Adj Close 19	0    0.000201
AVY Adj Close 18	0    0.0002
INCY Adj Close 16	0    0.0002
DXC Adj Close 9	0    0.000199
JNJ Adj Close 8	0    0.000199
FIS Adj Close 16	0    0.000198
WBA Adj Close 1	0    0.000198
LEN Adj Close 18	0    0.000198
ZTS Adj Close	0    0.000197
KMX Adj Close 8	0    0.000196
A Adj Close 4	0    0.000195
WELL Adj Close 17	0    0.000194
WMB Adj Close 11	0    0.000194
APD Adj Close 4	0    0.000194
WY Adj Close 21	0    0.000193
DVA Adj Close 2	0    0.000192
SEE Adj Close 19	0    0.000192
GL Adj Close 15	0    0.000192
EIX Adj Close 16	0    0.000191
NVDA Adj Close 7	0    0.00019
RL Adj Close 13	0    0.00019
PXD Adj Close	0    0.000189
LW Adj Close 9	0    0.000189
ABMD Adj Close 11	0    0.000189
IRM Adj Close 21	0    0.000187
AAL Adj Close 16	0    0.000187
PRGO Adj Close 14	0    0.000187
MMM rsi 18	0    0.000185
JNJ Adj Close	0    0.000185
